chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
JPM,2020-09-18,105.0000,call,sell,2020-09-18T15:40:54.079560Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
JPM,2020-09-18,96.0000,put,sell,2020-09-18T15:40:54.079560Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
JPM,2020-09-18,104.0000,call,buy,2020-09-18T15:40:54.079560Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
JPM,2020-09-18,97.0000,put,buy,2020-09-18T15:40:54.079560Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
JPM,2020-09-18,105.0000,call,sell,2020-09-18T15:40:39.634317Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
JPM,2020-09-18,96.0000,put,sell,2020-09-18T15:40:39.634317Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
JPM,2020-09-18,104.0000,call,buy,2020-09-18T15:40:39.634317Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
JPM,2020-09-18,97.0000,put,buy,2020-09-18T15:40:39.634317Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
AMD,2020-09-18,80.0000,call,buy,2020-09-18T14:47:52.465648Z,debit,1.00000,limit,,short_call,0.01000000,1.00000
JPM,2020-09-25,96.5000,put,buy,2020-09-18T14:11:48.799921Z,credit,1.00000,limit,short_put_spread,,0.18000000,1.00000
JPM,2020-09-25,97.0000,put,sell,2020-09-18T14:11:48.799921Z,credit,1.00000,limit,short_put_spread,,0.18000000,1.00000
JPM,2020-09-25,95.5000,put,sell,2020-09-18T14:08:55.664210Z,credit,1.00000,limit,short_put_spread,,0.13000000,1.00000
JPM,2020-09-25,95.0000,put,buy,2020-09-18T14:08:55.664210Z,credit,1.00000,limit,short_put_spread,,0.13000000,1.00000
